rank,app_id,app_name,artist_name,url,artwork,date,country,feed,genre_id,genre_name
17,6504324020,Hexa Away,"GOODROID,Inc.",https://apps.apple.com/us/app/hexa-away/id6504324020?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/22/05/4c/22054cc3-b4cd-19ed-b14a-ad6292d0c0a1/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
18,6755183085,Yarn Loop: Knit Puzzle,Combo Games,https://apps.apple.com/us/app/yarn-loop-knit-puzzle/id6755183085?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/f0/0b/5d/f00b5df3-2e9a-ab21-64eb-de28c9776532/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
19,880047117,Angry Birds 2,Rovio Entertainment Oyj,https://apps.apple.com/us/app/angry-birds-2/id880047117?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/9e/4c/4c/9e4c4cd1-c2a6-b88c-9e76-e4d5cfb5fd3c/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
20,1193508329,Sudoku.com - Number Games,Easybrain Ltd,https://apps.apple.com/us/app/sudoku-com-number-games/id1193508329?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/a7/4e/e9/a74ee927-ad1d-0278-e1e2-7707aa271bb3/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
21,6743385713,Wool Crush™-Escape Traffic Jam,Astrasen Global,https://apps.apple.com/us/app/wool-crush-escape-traffic-jam/id6743385713?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/f9/f0/c6/f9f0c6ad-e8e1-1036-d889-e6212b48dda5/AppIcon-0-0-1x_U007epad-0-1-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
22,553834731,Candy Crush Saga,King,https://apps.apple.com/us/app/candy-crush-saga/id553834731?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/a1/c5/92/a1c59272-aace-ff82-0b16-ca93a87cb33c/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
23,1602508478,Word Search Explorer®,PlaySimple Games Pte Ltd,https://apps.apple.com/us/app/word-search-explorer/id1602508478?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/44/99/ae/4499aec6-4b2b-6cfb-5ed0-1328808dcfa5/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
24,6747492600,Mahjong Blast,Nebula Studio,https://apps.apple.com/us/app/mahjong-blast/id6747492600?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/76/f8/30/76f830da-dbfd-069b-58ac-9edaa7bd5122/AppIcon-0-0-1x_U007epad-0-11-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
25,6448104157,Offline Games - No Wifi Games,Moreno Maio,https://apps.apple.com/us/app/offline-games-no-wifi-games/id6448104157?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/57/ca/9f/57ca9f7d-dc49-7415-2370-99548f83969a/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
26,6757844491,Tricky Story 2: Brain Twist,Tang Thi Thuy,https://apps.apple.com/us/app/tricky-story-2-brain-twist/id6757844491?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/f2/8e/10/f28e10b1-c469-8428-ff89-f580a991498a/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
